region,field,field_name,code,group_code_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0.18,0.32,0.26,0.31,0.41,0.4,0.32,0.41
Омская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0.2,0.89,0.85,0,0,0,0.07,0
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,5.02,4.66,4.85,4.47,3.82,3.85,3.49,3.87
Омская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,5.56,0.11,0.34,0.2,0.2,0.45,0.3,0.28
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,4.54,4.8,5.01,5.91,9.05,7.58,10.17,10.96
Омская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,3.94,1.22,0.64,0.33,0.2,0.26,0.4,0.6
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,0.6,0.48,0.67,0.8,0.73,0.92,1.03,0.88
Омская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Принятые,0.46,0,0.03,0.07,0,0.9,0,0.04
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Поданные,1.22,1.39,1.62,1.7,1.54,1.69,1.41,1.61
Омская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Принятые,1.13,0.04,0.14,0.23,0.03,0.03,0.17,0.4
Омская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Поданные,0.56,0.26,0.25,0.34,0.23,0.17,0.29,0.21
Омская область,2,"Инженерное дело, технологии и технические науки",12,"2.12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии",Принятые,0.48,0,0,0.07,0,0,0.03,0
Омская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Поданные,2.73,2.92,2.75,2.21,1.63,1.98,2.19,2.11
Омская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Принятые,2.27,0.04,0,0.03,0.03,0.13,0.03,0.08
Омская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Поданные,5.44,4.68,4.74,4.46,4.13,3.4,3.05,3.12
Омская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Принятые,7.1,1.86,0.95,1.13,1.07,1.77,1.1,0.72
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Поданные,2.39,2.12,2.32,2.99,2.41,2.4,2.46,2.62
Омская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Принятые,1.7,0,0,0.03,0.03,0,0,0.04
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Поданные,5.46,4.49,2.41,1.65,1.56,0.96,1.2,1.48
Омская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Принятые,7.8,0.14,0.03,0.07,0.07,0.03,0.13,0.16
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Поданные,0.36,0.71,0.53,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Принятые,0.16,0,0,NA,NA,NA,NA,NA
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Поданные,2.44,1.8,1.74,2.21,2.21,2.23,2.41,2.98
Омская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Принятые,1.7,0.93,0.85,0.1,0,0.03,0.1,0.16
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Поданные,1.37,1.01,0.93,0.97,1.18,0.69,0.58,0.64
Омская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Принятые,1.72,0.04,0,0.03,0.03,0,0,0
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Поданные,10.97,11.42,10.8,9.94,10.85,9.47,8.39,7.41
Омская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Принятые,9.94,0.11,0.27,0.03,0.1,0.35,0.23,0.72
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Поданные,0.66,0.28,0.27,0.49,0.24,0.22,0.31,0.24
Омская область,2,"Инженерное дело, технологии и технические науки",24,2.24.00.00 - Авиационная и ракетно-космическая техника,Принятые,0.33,0,0,0,0,0,0,0
Омская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Поданные,2.15,2.47,2.46,2.36,2.28,2.86,2.48,2.58
Омская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Принятые,1.53,0.72,0.68,0.66,0.65,0.64,0.67,0.88
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Поданные,1.58,1.87,1.75,2.05,2.55,2.15,1.95,1.63
Омская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Принятые,2.13,3.44,4.67,6.26,5.47,3.87,4.11,4.79
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Поданные,0.8,1.14,1.58,1.13,0.55,0.63,0.49,0.35
Омская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Принятые,0.54,0,0,0,0,0,0,0
Омская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Поданные,0.73,0.71,0.44,0.46,0.48,0.36,0.33,0.26
Омская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Принятые,1.27,0.07,0.03,0.17,0.1,0.06,0.03,0.04
Омская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Поданные,3.78,5.12,7.26,6.5,4.74,6,6.25,5.88
Омская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Принятые,2.87,8.91,9,8.71,9.82,9.34,10.06,8.27
Омская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Поданные,2.13,2.83,2.14,2.07,1.5,1.72,1.39,1.61
Омская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Принятые,2.09,0.07,0,0,0,0,0.03,0
Омская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Поданные,4.73,6.41,5.43,8.11,6.17,6.94,6.56,6.06
Омская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Принятые,4.5,2.43,0.07,0.07,0.13,0.19,0.2,0.12
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Поданные,5.03,5.9,5.51,4.55,3.42,4.79,4.08,3.07
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Принятые,7.83,0.18,0.24,0.36,0.16,0.19,0.13,0.28
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Поданные,0.28,0.38,0.25,0.32,0.28,0.37,0.49,1.15
Омская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Принятые,0.49,0.11,0,0.07,0.07,0.06,0.03,0.04
Омская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Поданные,11.5,7.95,7.93,6.82,9.58,7.86,9.13,8.89
Омская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Принятые,9.72,7.19,7.44,7.52,7.09,2.77,2.84,3.35
Омская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Поданные,0.17,0.29,0.31,0.27,0.33,0.52,0.33,0.39
Омская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Принятые,0.21,0,0.27,0.17,0.55,0.1,0.07,0
Омская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Поданные,6.77,5.86,6.02,6.65,7.72,7.79,9.3,7.94
Омская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Принятые,7.08,0,0,0,0.07,0,0,0.04
Омская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Поданные,0.32,0.39,0.35,0.44,0.46,0.54,0.55,0.62
Омская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Принятые,0.32,0.04,0.24,0,0.03,0,0.1,0.2
Омская область,5,Науки об обществе,43,5.43.00.00 - Сервис и туризм,Поданные,3.54,3.57,5.33,6.1,6.37,5.54,4.94,4.58
Омская область,5,Науки об обществе,43,5.43.00.00 - Сервис и туризм,Принятые,3.82,5.48,6.39,6.73,7.09,5.96,6.95,0.36
Омская область,6,Образование и педагогические науки,44,6.44.00.00 - Образование и педагогические науки,Поданные,5.15,6.68,7.09,6.8,6.84,7.76,6.71,7.82
Омская область,6,Образование и педагогические науки,44,6.44.00.00 - Образование и педагогические науки,Принятые,4.39,38.8,42.42,41.12,41.38,48.81,46.76,50.84
Омская область,7,Гуманитарные науки,46,7.46.00.00 - История и археология,Поданные,1.05,0.77,0.86,0.76,0.76,0.66,0.73,0.64
Омская область,7,Гуманитарные науки,46,7.46.00.00 - История и археология,Принятые,0.87,1.04,0.91,0.93,0.98,0.93,1.07,0.92
Омская область,7,Гуманитарные науки,49,7.49.00.00 - Физическая культура и спорт,Поданные,1.83,1.8,1.71,1.9,1.69,1.81,1.43,1.64
Омская область,7,Гуманитарные науки,49,7.49.00.00 - Физическая культура и спорт,Принятые,1.8,10.56,9.27,9.58,9.3,10.95,9.56,10.7
Омская область,8,Искусство и культура,51,8.51.00.00 - Культуроведение и социокультурные проекты,Поданные,1.7,1.67,1.81,1.29,1.1,1.23,1.14,0.82
Омская область,8,Искусство и культура,51,8.51.00.00 - Культуроведение и социокультурные проекты,Принятые,1.1,7.23,6.56,6.43,6.38,5.54,5.45,5.03
Омская область,8,Искусство и культура,52,8.52.00.00 - Сценические искусства и литературное творчество,Поданные,0.38,0.45,0.36,0.36,0.35,0.38,0.37,0.35
Омская область,8,Искусство и культура,52,8.52.00.00 - Сценические искусства и литературное творчество,Принятые,0.24,1.72,1.29,1.52,1.69,1.55,1.67,1.56
Омская область,8,Искусство и культура,53,8.53.00.00 - Музыкальное искусство,Поданные,0.77,0.82,0.62,0.58,0.48,0.6,0.53,0.62
Омская область,8,Искусство и культура,53,8.53.00.00 - Музыкальное искусство,Принятые,0.79,3.22,2.88,2.98,2.96,2.93,3.07,4.03
Омская область,8,Искусство и культура,54,8.54.00.00 - Изобразительное и прикладные виды искусств,Поданные,1.66,1.55,1.53,1.86,2.13,3.23,3.15,4.3
Омская область,8,Искусство и культура,54,8.54.00.00 - Изобразительное и прикладные виды искусств,Принятые,1.93,3.44,3.52,4.41,4.33,2.13,4.61,5.31
Омская область,8,Искусство и культура,55,8.55.00.00 - Экранные искусства,Поданные,NA,0.05,0.13,0.16,0.22,0.28,0.36,0.27
Омская область,8,Искусство и культура,55,8.55.00.00 - Экранные искусства,Принятые,NA,0,0.03,0,0,0,0,0.04
Тюменская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Поданные,0,0,NA,NA,NA,NA,NA,NA
Тюменская область,2,"Инженерное дело, технологии и технические науки",07,2.07.00.00 - Архитектура,Принятые,0,0,NA,NA,NA,NA,NA,NA
Тюменская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Поданные,9.82,8.09,8.07,7.86,6.85,8.58,9.72,8.7
Тюменская область,2,"Инженерное дело, технологии и технические науки",08,2.08.00.00 - Техника и технологии строительства,Принятые,10.13,0.3,0.29,0.35,0.43,0.54,0.44,0.34
Тюменская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Поданные,5.94,6.27,7.26,10.92,11.17,9.47,10.49,12.39
Тюменская область,2,"Инженерное дело, технологии и технические науки",09,2.09.00.00 - Информатика и вычислительная техника,Принятые,3.33,0.4,0.48,0.61,0.26,0.54,0.5,0.51
Тюменская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Поданные,0.07,0.17,NA,0.06,0.27,0.85,0.74,0.79
Тюменская область,2,"Инженерное дело, технологии и технические науки",10,2.10.00.00 - Информационная безопасность,Принятые,0.23,0.1,NA,0,0.17,0.27,0.12,0.34
Тюменская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Поданные,1.71,1.41,1.38,1.83,1.16,0.94,0.86,0.55
Тюменская область,2,"Инженерное дело, технологии и технические науки",11,"2.11.00.00 - Электроника, радиотехника и системы связи",Принятые,1.17,0,0,0.09,0.09,0,0,0.08
Тюменская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Поданные,3.67,3.3,3.41,3.59,2.72,4.7,4.18,4.13
Тюменская область,2,"Инженерное дело, технологии и технические науки",13,2.13.00.00 - Электро- и теплоэнергетика,Принятые,4.12,0,0,0.09,0.09,0.14,0.12,0.08
Тюменская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Поданные,7.14,7.24,9.39,9.31,9.79,8.41,8.96,9.61
Тюменская область,2,"Инженерное дело, технологии и технические науки",15,2.15.00.00 - Машиностроение,Принятые,6.95,0.2,0.39,0.61,0.69,0.2,0.81,0.76
Тюменская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Поданные,1.72,1.69,2.68,2.92,1.74,2.62,2.37,2.39
Тюменская область,2,"Инженерное дело, технологии и технические науки",18,2.18.00.00 - Химические технологии,Принятые,1.88,0,0.1,0.26,0,0,0,0.17
Тюменская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Поданные,4.21,1.67,1.82,1.75,0.61,0.7,0.39,0.68
Тюменская область,2,"Инженерное дело, технологии и технические науки",19,2.19.00.00 - Промышленная экология и биотехнологии,Принятые,7.09,0.2,0.39,0.35,0,0.14,0.06,0.25
Тюменская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Поданные,0.68,0.33,0.83,0.33,0.23,0.34,0.37,0.34
Тюменская область,2,"Инженерное дело, технологии и технические науки",20,2.20.00.00 - Техносферная безопасность и природообустройство,Принятые,0.7,0,0,0.17,0,0,0,0
Тюменская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Поданные,14.19,12.7,12.24,11.39,10.47,13.83,10.98,7.9
Тюменская область,2,"Инженерное дело, технологии и технические науки",21,"2.21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия",Принятые,7.23,0.1,0,0.09,2.25,1.69,3.3,0.08
Тюменская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Поданные,1.04,2.4,1.92,1.87,1.76,2.02,2.21,2.02
Тюменская область,2,"Инженерное дело, технологии и технические науки",22,2.22.00.00 - Технологии материалов,Принятые,1.18,0,0.1,0,0,0.07,0,0
Тюменская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Поданные,9.22,9.1,8.16,8.64,6.8,8.26,8.35,8.57
Тюменская область,2,"Инженерное дело, технологии и технические науки",23,2.23.00.00 - Техника и технологии наземного транспорта,Принятые,8.32,0.3,0.29,0.35,0.17,1.35,0.25,0.42
Тюменская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Поданные,1.39,1.8,1.88,0.12,2.59,1.42,1.08,1.26
Тюменская область,2,"Инженерное дело, технологии и технические науки",26,2.26.00.00 - Техника и технологии кораблестроения и водного транспорта,Принятые,2.35,0,5.23,0,4.32,1.69,0,4.25
Тюменская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Поданные,0.97,1.14,1.97,2,1.38,1.01,2.32,1.57
Тюменская область,2,"Инженерное дело, технологии и технические науки",27,2.27.00.00 - Управление в технических системах,Принятые,0.94,0,0,0.09,0,0,0,0.08
Тюменская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Поданные,0.34,0.88,0.79,0.54,0.66,0.34,0.22,0.39
Тюменская область,2,"Инженерное дело, технологии и технические науки",29,2.29.00.00 - Технологии легкой промышленности,Принятые,0.49,0.2,0.48,0.35,0.52,0,0,0.25
Тюменская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Поданные,6.12,5.76,5.27,5.14,6.04,5.11,5.12,6.54
Тюменская область,3,Здравоохранение и медицинские науки,31,3.31.00.00 - Клиническая медицина,Принятые,5.39,33.5,30.78,27.41,19.97,27.84,32.21,0.51
Тюменская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Поданные,1.58,1.57,1.93,1.13,1.49,1.42,1.92,1.06
Тюменская область,3,Здравоохранение и медицинские науки,33,3.33.00.00 - Фармация,Принятые,1.1,0,0.1,0,0.09,0.07,0.12,0.08
Тюменская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Поданные,4.54,3.85,3.81,3.34,3.63,3.23,3.22,3.75
Тюменская область,3,Здравоохранение и медицинские науки,34,3.34.00.00 - Сестринское дело,Принятые,5.9,3.01,3.1,1.65,0.17,1.08,0.56,1.61
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Поданные,6.23,5.53,3.43,4.2,3.8,3,2.57,2.97
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,35,"4.35.00.00 - Сельское, лесное и рыбное хозяйство",Принятые,10.24,0.3,0.68,0.26,0.26,0.2,0.5,0.93
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Поданные,0.08,0.1,0.15,0.15,0.13,0.14,0.11,0.14
Тюменская область,4,Сельское хозяйство и сельскохозяйственные науки,36,4.36.00.00 - Ветеринария и зоотехния,Принятые,0.25,0,0,0,0,0.07,0,0
Тюменская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Поданные,4.53,4.42,3.6,3.61,4.27,3.76,3.78,5.1
Тюменская область,5,Науки об обществе,38,5.38.00.00 - Экономика и управление,Принятые,7.11,5.12,2.61,2.52,4.75,3.51,2.11,2.97
Тюменская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Поданные,0.8,1.11,1.01,1.05,1.44,0.68,1.02,1.17
Тюменская область,5,Науки об обществе,40,5.40.00.00 - Юриспруденция,Принятые,1.26,0,0,0,0,0,0,0
Тюменская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Поданные,0,NA,NA,NA,NA,NA,0.09,0.14
Тюменская область,5,Науки об обществе,42,5.42.00.00 - Средства массовой информации и информационно-библиотечное дело,Принятые,0.01,NA,NA,NA,NA,NA,0,0
Тюменская область,5,Науки об обществе,43,5.43.00.00 - Сервис и туризм,Поданные,4.28,8.2,7.58,7.08,10.1,9.04,8.06,7.71
Тюменская область,5,Науки об обществе,43,5.43.00.00 - Сервис и туризм,Принятые,4.52,2.61,3.19,2.69,3.46,0.68,0.37,0.76
Тюменская область,6,Образование и педагогические науки,44,6.44.00.00 - Образование и педагогические науки,Поданные,4.31,5.12,4.24,4.25,3.55,4.11,3.19,2.72
Тюменская область,6,Образование и педагогические науки,44,6.44.00.00 - Образование и педагогические науки,Принятые,2.8,29.29,25.36,25.41,26.79,24.59,23.88,32.71
Тюменская область,7,Гуманитарные науки,49,7.49.00.00 - Физическая культура и спорт,Поданные,2.44,3.17,3.21,3.07,2.42,1.43,1.48,1.94
Тюменская область,7,Гуманитарные науки,49,7.49.00.00 - Физическая культура и спорт,Принятые,2.07,6.62,8.03,22.29,20.57,17.36,20.27,28.55
Тюменская область,8,Искусство и культура,51,8.51.00.00 - Культуроведение и социокультурные проекты,Поданные,0.47,0.27,0.84,0.72,0.66,0.4,0.53,0.38
Тюменская область,8,Искусство и культура,51,8.51.00.00 - Культуроведение и социокультурные проекты,Принятые,0.72,1.91,2.42,0,0,1.76,1.55,6.2
Тюменская область,8,Искусство и культура,52,8.52.00.00 - Сценические искусства и литературное творчество,Поданные,0.36,0.19,0.2,0.35,0.47,0.3,0.16,0.33
Тюменская область,8,Искусство и культура,52,8.52.00.00 - Сценические искусства и литературное творчество,Принятые,0.23,2.91,3.29,3.64,4.15,3.31,2.43,4.84
Тюменская область,8,Искусство и культура,53,8.53.00.00 - Музыкальное искусство,Поданные,0.63,0.58,0.39,0.37,0.4,0.34,0.31,0.23
Тюменская область,8,Искусство и культура,53,8.53.00.00 - Музыкальное искусство,Принятые,0.81,9.53,8.13,7.89,8.12,7.16,6.09,7.22
Тюменская область,8,Искусство и культура,54,8.54.00.00 - Изобразительное и прикладные виды искусств,Поданные,1.53,1.95,2.31,2.26,3.04,2.86,4.04,3.67
Тюменская область,8,Искусство и культура,54,8.54.00.00 - Изобразительное и прикладные виды искусств,Принятые,1.49,3.41,4.55,2.86,2.68,5.27,4.17,5.61
Тюменская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Поданные,NA,NA,0.23,0.14,0.2,0.43,0.37,0.33
Тюменская область,2,"Инженерное дело, технологии и технические науки",25,2.25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники,Принятые,NA,NA,0,0,0,0.07,0,0
Тюменская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Поданные,NA,NA,NA,0,0.17,0.26,0.38,0.35
Тюменская область,5,Науки об обществе,39,5.39.00.00 - Социология и социальная работа,Принятые,NA,NA,NA,0,0,0.41,0.06,0.25
Тюменская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Поданные,NA,NA,NA,NA,NA,NA,0.39,0.19
Тюменская область,3,Здравоохранение и медицинские науки,32,3.32.00.00 - Науки о здоровье и профилактическая медицина,Принятые,NA,NA,NA,NA,NA,NA,0.06,0.08
Тюменская область,7,Гуманитарные науки,46,7.46.00.00 - История и археология,Поданные,NA,NA,NA,NA,NA,NA,0.04,0
Тюменская область,7,Гуманитарные науки,46,7.46.00.00 - История и археология,Принятые,NA,NA,NA,NA,NA,NA,0,0
